Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,I/O Register,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,SERDESIF Blocks,SERDESIF Lanes,EPCS,HPMS,10/100/1000 Ethernet,RCOSC_50MHZ
GBTx_interface_instance/l1msg_instance/l1msg_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/Primitives,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/l1msg_instance/l1msg_0/RW1.UI_ram_wrapper_1/U2_asyncnonpipe/Primitives,0,0,216,216,0,0,0,6,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_bcr_instance/trigger_fifo_0/L31.U_corefifo_async/Primitives,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_bcr_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_bcr_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_bcr_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_bcr_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_l1a_instance/trigger_fifo_0/L31.U_corefifo_async/Primitives,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_l1a_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_l1a_instance/trigger_fifo_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_l1a_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBTx_interface_instance/trigger_fifo_l1a_instance/trigger_fifo_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/AUX_CTRL_0/Primitives,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
